 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        11      45.9227
      2       131        27      30.5218
      3       130        37      41.8045
      4       129        31      31.9621
      5       128        26      35.3234
      6       127        31      29.9309
      7       126        36      29.8231
      8       125        34      34.8620
      9       124        28      42.0111
     10       123        35      28.4372
     11       122        38      39.1701
     12       121        41      42.8290
     13       120        31      33.3580
     14       119        23      40.1433
     15       118        29      36.5933
     16       117        35      33.1371
     17       116        34      41.4722
     18       115        38      34.9002
     19       114        41      35.8163
     20       113        41      42.3534
     21       112        33      41.7231
     22       111        33      36.1651
     23       110        40      33.2925
     24       109        14      30.1822
 ---------------------------------------
 TOTAL NUM. LINES:      767
 MEAN RMS RESIDUAL PER ORD:      36.3223
 MEAN LINES PER ORD:  31.96
 MEAN RMS RESIDUAL:              36.6855
