 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         2      15.8642
      2       141         2      22.9999
      3       140         5      41.4952
      4       139         7      21.6133
      5       138         8      40.1650
      6       137         6      27.2674
      7       136         7      42.5237
      8       135        10      43.4860
      9       134        13      29.4759
     10       133        17      36.7650
     11       132        12      32.8884
     12       131        21      43.0188
     13       130        19      44.5512
     14       129        16      39.1002
     15       128        11      35.7091
     16       127        18      34.4749
     17       126        15      36.1247
     18       125        10      34.0003
     19       124        19      27.3893
     20       123        13      36.4947
     21       122        24      35.5513
     22       121        18      25.7291
     23       120        20      38.8364
     24       119        22      35.7691
     25       118        17      44.0701
     26       117        19      41.9285
     27       116        17      43.5514
     28       115        19      40.7894
     29       114        18      38.8630
     30       113        12      39.5637
     31       112         9      42.5854
     32       111        17      39.7638
     33       110        23      38.6589
     34       109        27      38.8889
     35       108        15      27.9816
     36       107        12      30.4227
     37       106        12      49.0054
     38       105        14      35.3285
     39       104        14      33.3940
     40       103         4      29.0408
 ---------------------------------------
 TOTAL NUM. LINES:      564
 MEAN RMS RESIDUAL PER ORD:      35.8782
 MEAN LINES PER ORD:  14.10
 MEAN RMS RESIDUAL:              37.4781
