 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         2      25.8860
      3       140         5      36.6643
      4       139         7      37.9804
      5       138         9      31.1534
      6       137         9      42.7322
      7       136         6      42.3875
      8       135        11      33.6883
      9       134        14      36.4628
     10       133        16      35.8853
     11       132        13      34.9310
     12       131        15      36.6496
     13       130        17      42.0546
     14       129        20      40.0393
     15       128        10      31.2469
     16       127        17      36.5012
     17       126        16      32.0670
     18       125        12      34.4247
     19       124        18      41.5956
     20       123        11      41.8084
     21       122        26      36.0500
     22       121        17      41.1600
     23       120        20      40.6809
     24       119        22      31.6306
     25       118        15      36.3067
     26       117        21      41.3969
     27       116        18      41.3847
     28       115        19      35.2404
     29       114        16      51.1220
     30       113        12      39.6104
     31       112         9      27.3789
     32       111        16      32.5413
     33       110        22      44.4082
     34       109        27      39.4034
     35       108        12      41.9684
     36       107        14      36.4829
     37       106        11      37.4317
     38       105        18      27.5222
     39       104        17      31.6817
     40       103         3      24.4086
 ---------------------------------------
 TOTAL NUM. LINES:      564
 MEAN RMS RESIDUAL PER ORD:      35.7992
 MEAN LINES PER ORD:  14.10
 MEAN RMS RESIDUAL:              37.6037
