 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132         7      24.7476
      2       131        28      35.5704
      3       130        37      39.8137
      4       129        26      26.7730
      5       128        29      31.8755
      6       127        34      32.9939
      7       126        23      32.0248
      8       125        27      38.6482
      9       124        23      37.7743
     10       123        25      42.1480
     11       122        37      30.3927
     12       121        38      39.9320
     13       120        28      32.0128
     14       119        25      38.4991
     15       118        24      32.7065
     16       117        29      41.4975
     17       116        28      46.3794
     18       115        26      37.4623
     19       114        29      38.1625
     20       113        32      32.7025
     21       112        21      39.5387
     22       111        30      42.1015
     23       110        33      39.9952
     24       109        19      37.1571
 ---------------------------------------
 TOTAL NUM. LINES:      658
 MEAN RMS RESIDUAL PER ORD:      36.2879
 MEAN LINES PER ORD:  27.42
 MEAN RMS RESIDUAL:              37.1153
