 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         5      30.5377
      2       140         8      37.6378
      3       139         5      36.2455
      4       138         5      34.7121
      5       137         5      34.5976
      6       136         7      33.1915
      7       135        13      37.2638
      8       134         9      50.0251
      9       133        15      46.0733
     10       132        14      45.9747
     11       131        12      49.8638
     12       130        13      41.2268
     13       129        13      36.7578
     14       128        10      35.6156
     15       127        19      38.4247
     16       126        13      42.8961
     17       125        15      32.4332
     18       124        14      30.4120
     19       123        17      42.3499
     20       122        18      48.6950
     21       121        16      41.6206
     22       120        23      41.3811
     23       119        24      43.4405
     24       118        17      44.2234
     25       117        18      43.2238
     26       116        16      42.0652
     27       115        23      45.6077
     28       114        17      30.7334
     29       113        13      24.2414
     30       112         9      33.5238
     31       111        15      26.3724
     32       110        18      44.2163
     33       109        22      40.7351
     34       108        19      44.2334
     35       107        17      47.8424
     36       106        12      23.4585
     37       105        17      31.7139
     38       104        17      40.0604
     39       103         5      57.6967
 ---------------------------------------
 TOTAL NUM. LINES:      548
 MEAN RMS RESIDUAL PER ORD:      39.2647
 MEAN LINES PER ORD:  14.05
 MEAN RMS RESIDUAL:              40.8731
