 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132         8      25.4808
      2       131        23      34.5601
      3       130        20      30.7239
      4       129        29      36.1021
      5       128        28      31.5077
      6       127        30      37.9843
      7       126        36      35.3081
      8       125        34      37.1754
      9       124        22      40.6439
     10       123        28      38.0091
     11       122        33      32.7497
     12       121        40      38.1215
     13       120        27      33.7373
     14       119        21      35.3752
     15       118        31      37.9585
     16       117        36      37.0123
     17       116        37      40.4255
     18       115        37      37.2520
     19       114        42      33.1544
     20       113        45      39.9881
     21       112        30      45.9974
     22       111        41      37.6120
     23       110        38      33.1553
     24       109        16      33.0289
 ---------------------------------------
 TOTAL NUM. LINES:      732
 MEAN RMS RESIDUAL PER ORD:      35.9610
 MEAN LINES PER ORD:  30.50
 MEAN RMS RESIDUAL:              36.5923
