 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         0       0.0000
      3       140         5      39.8433
      4       139         6      17.9403
      5       138         9      39.4511
      6       137         6      31.9021
      7       136         6      33.8824
      8       135        15      51.3203
      9       134        11      23.1874
     10       133        19      41.0567
     11       132        13      36.4972
     12       131        17      36.2221
     13       130        22      48.4834
     14       129        22      41.7253
     15       128        12      19.8340
     16       127        18      36.3360
     17       126        15      28.6431
     18       125        16      38.9041
     19       124        18      37.9570
     20       123        16      49.6388
     21       122        21      37.3592
     22       121        16      37.9017
     23       120        26      46.7853
     24       119        23      39.0374
     25       118        18      51.5549
     26       117        19      48.8197
     27       116        16      48.7221
     28       115        23      37.2819
     29       114        19      37.2106
     30       113        12      47.9619
     31       112        15      42.5025
     32       111        15      46.0375
     33       110        26      38.1544
     34       109        23      47.2715
     35       108        14      37.9733
     36       107        13      43.6570
     37       106        11      47.3612
     38       105        21      41.3388
     39       104        19      32.4506
     40       103         4      20.4955
 ---------------------------------------
 TOTAL NUM. LINES:      601
 MEAN RMS RESIDUAL PER ORD:      37.0675
 MEAN LINES PER ORD:  15.03
 MEAN RMS RESIDUAL:              40.9175
