 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        13      33.3631
      2       131        27      30.9782
      3       130        31      33.5415
      4       129        29      37.6390
      5       128        27      35.3174
      6       127        32      35.2668
      7       126        32      40.7502
      8       125        32      42.1083
      9       124        29      44.2623
     10       123        32      41.5643
     11       122        38      40.4333
     12       121        42      36.3179
     13       120        26      33.3694
     14       119        20      44.6645
     15       118        27      35.3689
     16       117        33      35.8869
     17       116        35      33.4566
     18       115        36      37.6815
     19       114        45      32.6192
     20       113        49      38.7034
     21       112        30      42.4140
     22       111        40      37.8773
     23       110        37      37.6707
     24       109        19      30.9067
 ---------------------------------------
 TOTAL NUM. LINES:      761
 MEAN RMS RESIDUAL PER ORD:      37.1734
 MEAN LINES PER ORD:  31.71
 MEAN RMS RESIDUAL:              37.5758
