 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         2      32.5052
      3       140         4      37.3616
      4       139         7      46.2813
      5       138         8      44.3681
      6       137         5      41.4957
      7       136         9      37.0448
      8       135        12      35.8426
      9       134         8      35.2296
     10       133        15      33.9514
     11       132        17      36.9634
     12       131        12      41.4730
     13       130        17      47.9080
     14       129        18      35.1490
     15       128        13      39.4457
     16       127        20      38.9093
     17       126        15      30.5812
     18       125        13      33.5121
     19       124        17      32.5210
     20       123        11      33.9476
     21       122        23      34.7037
     22       121        16      48.1197
     23       120        24      40.6326
     24       119        19      35.2946
     25       118        12      32.0593
     26       117        20      39.4280
     27       116        16      33.2762
     28       115        18      39.5987
     29       114        21      37.4442
     30       113         7      45.8333
     31       112        10      35.6316
     32       111        14      31.7082
     33       110        21      37.6258
     34       109        22      33.8230
     35       108        13      35.7005
     36       107         9      18.8761
     37       106        11      29.0741
     38       105        20      35.9092
     39       104        13      33.7894
     40       103         4      43.2765
 ---------------------------------------
 TOTAL NUM. LINES:      537
 MEAN RMS RESIDUAL PER ORD:      35.9074
 MEAN LINES PER ORD:  13.43
 MEAN RMS RESIDUAL:              36.6325
