 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        12      30.7457
      2       131        25      26.5588
      3       130        28      36.1432
      4       129        32      26.5978
      5       128        24      29.9149
      6       127        31      36.9702
      7       126        29      35.2433
      8       125        33      35.5657
      9       124        21      38.4578
     10       123        28      33.9108
     11       122        37      42.9907
     12       121        40      38.1467
     13       120        30      31.3425
     14       119        16      39.3053
     15       118        22      41.3353
     16       117        22      39.9069
     17       116        23      42.8616
     18       115        29      34.5983
     19       114        28      37.8760
     20       113        35      36.2047
     21       112        19      39.5856
     22       111        31      40.7016
     23       110        33      41.1161
     24       109        17      38.5152
 ---------------------------------------
 TOTAL NUM. LINES:      645
 MEAN RMS RESIDUAL PER ORD:      36.4414
 MEAN LINES PER ORD:  26.88
 MEAN RMS RESIDUAL:              36.6201
