 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        10      26.6428
      2       131        24      26.9212
      3       130        32      28.4059
      4       129        32      35.8754
      5       128        29      34.7525
      6       127        35      34.4367
      7       126        36      36.4654
      8       125        33      38.6132
      9       124        27      38.0219
     10       123        31      33.8113
     11       122        35      37.5816
     12       121        38      39.5835
     13       120        30      36.5604
     14       119        20      36.5681
     15       118        29      39.0958
     16       117        30      35.7135
     17       116        32      34.5588
     18       115        33      37.2940
     19       114        28      38.2529
     20       113        29      40.2670
     21       112        16      23.8381
     22       111        13      55.7530
     23       110        10      39.6672
     24       109         8      44.8879
 ---------------------------------------
 TOTAL NUM. LINES:      640
 MEAN RMS RESIDUAL PER ORD:      36.3987
 MEAN LINES PER ORD:  26.67
 MEAN RMS RESIDUAL:              36.5868
