 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        14      35.6213
      2       131        21      28.6905
      3       130        32      37.9747
      4       129        22      21.7167
      5       128        26      34.2468
      6       127        29      35.6711
      7       126        32      36.6815
      8       125        34      37.3270
      9       124        21      29.0341
     10       123        28      36.1913
     11       122        43      36.6919
     12       121        35      36.4413
     13       120        27      37.9814
     14       119        17      34.3197
     15       118        23      39.9655
     16       117        32      43.6808
     17       116        37      39.6220
     18       115        26      40.8288
     19       114        29      38.9599
     20       113        33      36.5923
     21       112        25      39.1979
     22       111        26      45.7877
     23       110        43      32.2538
     24       109        17      38.3570
 ---------------------------------------
 TOTAL NUM. LINES:      672
 MEAN RMS RESIDUAL PER ORD:      36.4098
 MEAN LINES PER ORD:  28.00
 MEAN RMS RESIDUAL:              37.2236
