 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         2       8.8188
      3       140         4      39.3230
      4       139         4      28.5962
      5       138        10      29.1098
      6       137         6      29.3287
      7       136         7      41.2373
      8       135        11      43.9834
      9       134        12      27.8906
     10       133        15      35.7106
     11       132        12      35.1850
     12       131        14      33.6551
     13       130        20      41.9727
     14       129        14      35.9758
     15       128        11      38.2567
     16       127        16      31.3384
     17       126        17      32.1267
     18       125        11      46.6380
     19       124        14      35.0496
     20       123        15      45.0634
     21       122        23      43.5752
     22       121        18      34.3543
     23       120        23      40.7619
     24       119        18      34.5658
     25       118        21      40.2415
     26       117        16      43.3969
     27       116        15      34.6839
     28       115        18      32.2514
     29       114        17      35.1931
     30       113        10      41.2922
     31       112        10      32.3547
     32       111        14      37.8395
     33       110        18      36.3456
     34       109        23      40.8049
     35       108        10      44.7541
     36       107        10      43.1390
     37       106         8      21.7221
     38       105        16      27.3982
     39       104        11      32.4696
     40       103         5      20.8205
 ---------------------------------------
 TOTAL NUM. LINES:      520
 MEAN RMS RESIDUAL PER ORD:      34.4306
 MEAN LINES PER ORD:  13.00
 MEAN RMS RESIDUAL:              37.3276
