 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         2      40.6892
      3       140         5      45.2517
      4       139         7      38.0209
      5       138         9      29.4756
      6       137         9      40.0072
      7       136         7      40.3507
      8       135        14      43.5289
      9       134        14      33.7218
     10       133        18      42.5709
     11       132        11      37.0275
     12       131        20      38.4614
     13       130        20      44.2497
     14       129        16      39.9479
     15       128        12      38.1286
     16       127        20      34.5373
     17       126        16      35.1976
     18       125        14      42.5372
     19       124        18      33.2242
     20       123        16      51.0734
     21       122        26      38.4925
     22       121        18      34.8693
     23       120        22      40.4255
     24       119        23      37.7605
     25       118        17      48.9638
     26       117        21      37.0852
     27       116        18      45.7626
     28       115        23      45.0004
     29       114        19      49.0373
     30       113        14      46.3499
     31       112        11      38.5899
     32       111        17      46.9943
     33       110        28      44.7512
     34       109        24      35.9264
     35       108        16      51.7823
     36       107        14      40.6086
     37       106         7      47.7975
     38       105        21      36.1737
     39       104        16      28.3593
     40       103         4      41.6822
 ---------------------------------------
 TOTAL NUM. LINES:      608
 MEAN RMS RESIDUAL PER ORD:      39.6104
 MEAN LINES PER ORD:  15.20
 MEAN RMS RESIDUAL:              40.5185
