 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         0       0.0000
      2       141         1       0.0000
      3       140         6      29.3464
      4       139         9      32.7122
      5       138         8      28.4618
      6       137         6      41.4001
      7       136         8      35.6951
      8       135        16      37.0081
      9       134        10      40.5422
     10       133        15      38.7963
     11       132        16      36.3551
     12       131        12      39.6675
     13       130        19      40.5822
     14       129        14      26.9688
     15       128        11      36.2962
     16       127        18      29.6000
     17       126        14      40.3549
     18       125        16      42.3918
     19       124        22      32.3995
     20       123        19      42.4135
     21       122        22      43.6515
     22       121        17      44.1144
     23       120        23      35.1219
     24       119        22      37.7754
     25       118        18      42.9449
     26       117        22      37.1557
     27       116        15      30.7201
     28       115        23      38.0863
     29       114        13      35.5747
     30       113        12      37.0543
     31       112        12      33.6314
     32       111        15      30.4297
     33       110        22      42.8147
     34       109        23      39.0970
     35       108        18      42.3891
     36       107        16      35.9664
     37       106        10      38.2336
     38       105        18      40.5177
     39       104        13      38.2461
     40       103         5      39.6655
 ---------------------------------------
 TOTAL NUM. LINES:      579
 MEAN RMS RESIDUAL PER ORD:      35.3545
 MEAN LINES PER ORD:  14.47
 MEAN RMS RESIDUAL:              37.7226
