 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        13      23.1858
      2       131        26      33.2793
      3       130        34      37.0877
      4       129        32      27.3456
      5       128        26      34.6867
      6       127        34      36.6337
      7       126        31      37.1402
      8       125        33      35.1744
      9       124        24      37.5354
     10       123        32      35.5935
     11       122        39      36.3473
     12       121        42      40.8712
     13       120        28      34.2890
     14       119        21      35.8500
     15       118        30      39.1465
     16       117        37      40.1481
     17       116        40      35.1639
     18       115        37      37.1048
     19       114        42      40.9051
     20       113        43      38.8579
     21       112        32      36.6241
     22       111        37      35.5416
     23       110        43      26.8045
     24       109        18      39.6342
 ---------------------------------------
 TOTAL NUM. LINES:      774
 MEAN RMS RESIDUAL PER ORD:      35.6229
 MEAN LINES PER ORD:  32.25
 MEAN RMS RESIDUAL:              36.1322
