 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         0       0.0000
      3       140         4      48.3410
      4       139         8      24.3122
      5       138         5      20.5537
      6       137         8      46.4784
      7       136         5      43.0647
      8       135        14      42.5191
      9       134        14      43.9444
     10       133        17      33.8702
     11       132        19      43.6789
     12       131        15      45.6884
     13       130        19      51.9777
     14       129        22      42.3934
     15       128        13      39.3350
     16       127        20      26.2826
     17       126        14      30.8666
     18       125        17      39.1543
     19       124        20      35.3975
     20       123        21      41.5159
     21       122        26      41.7373
     22       121        21      43.4419
     23       120        25      37.6859
     24       119        23      28.5883
     25       118        20      35.8425
     26       117        22      41.9084
     27       116        22      41.6554
     28       115        24      41.7603
     29       114        19      40.9688
     30       113        16      41.0718
     31       112        11      41.7910
     32       111        15      34.0836
     33       110        25      33.2851
     34       109        27      40.2478
     35       108        19      36.5801
     36       107        14      33.2651
     37       106        12      40.0584
     38       105        21      37.6091
     39       104        17      33.8534
     40       103         5      21.7779
 ---------------------------------------
 TOTAL NUM. LINES:      640
 MEAN RMS RESIDUAL PER ORD:      36.1647
 MEAN LINES PER ORD:  16.00
 MEAN RMS RESIDUAL:              38.7501
