 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         4      10.7032
      2       127        22      30.4451
      3       126        24      26.7863
      4       125        19      27.4819
      5       124        14      28.2852
      6       123        24      25.7690
      7       122        32      28.3616
      8       121        30      30.4426
      9       120        26      27.8601
     10       119        21      25.7302
     11       118        29      34.4836
     12       117        23      34.9908
     13       116        26      30.3068
     14       115        29      29.4101
     15       114        32      23.3329
     16       113        39      30.9690
     17       112        23      31.1338
     18       111        29      29.4699
     19       110        33      27.7110
     20       109        21      31.1488
     21       108        18      34.6619
     22       107        27      28.3778
     23       106        16      28.9580
 ---------------------------------------
 TOTAL NUM. LINES:      561
 MEAN RMS RESIDUAL PER ORD:      28.5574
 MEAN LINES PER ORD:  24.39
 MEAN RMS RESIDUAL:              29.2610
