 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.080
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        10      18.1686
      2       131        19      24.4215
      3       130        21      27.7290
      4       129        26      37.8556
      5       128        20      29.5286
      6       127        25      31.3266
      7       126        26      28.1982
      8       125        22      43.7474
      9       124        17      44.3544
     10       123        24      27.9026
     11       122        33      32.0312
     12       121        31      37.7445
     13       120        28      33.8435
     14       119        23      44.5882
     15       118        28      36.2342
     16       117        25      47.0008
     17       116        27      34.8091
     18       115        29      29.8674
     19       114        32      32.7768
     20       113        40      35.1094
     21       112        28      40.6714
     22       111        27      31.6453
     23       110        29      41.7089
     24       109        11      39.7387
 ---------------------------------------
 TOTAL NUM. LINES:      601
 MEAN RMS RESIDUAL PER ORD:      34.6251
 MEAN LINES PER ORD:  25.04
 MEAN RMS RESIDUAL:              35.4381
