 CENTRAL WAVELENGTH: 346
 BINNING: 1x1
 TOLERANCE:  0.055
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       152         0       0.0000
      2       151         0       0.0000
      3       150         0       0.0000
      4       149         0       0.0000
      5       148         0       0.0000
      6       147        10      38.7502
      7       146         2      30.4544
      8       145         6      34.9750
      9       144         9      58.1146
     10       143        12      30.0127
     11       142         6      37.7471
     12       141         6      11.4579
     13       140         9      26.3159
     14       139         8      44.6406
     15       138        10      39.4939
     16       137        11      52.2704
     17       136        12      37.5371
     18       135        18      38.2440
     19       134        16      49.0192
     20       133        19      47.1441
     21       132        21      37.0338
     22       131        15      24.8664
     23       130        17      52.4233
     24       129        22      41.6272
     25       128        15      36.5235
     26       127        26      35.2910
     27       126        18      39.9976
     28       125        24      43.5669
     29       124        15      30.1953
     30       123        27      40.7087
     31       122        26      34.7950
     32       121        17      38.8614
     33       120         3      51.8093
 ---------------------------------------
 TOTAL NUM. LINES:      400
 MEAN RMS RESIDUAL PER ORD:      37.3750
 MEAN LINES PER ORD:  12.12
 MEAN RMS RESIDUAL:              39.8694
