 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         0       0.0000
      2       141         1       0.0000
      3       140         6      41.1586
      4       139         8      29.1066
      5       138         8      37.9788
      6       137         8      41.5459
      7       136         7      29.7142
      8       135        10      36.0809
      9       134        12      35.7681
     10       133        17      33.9752
     11       132        21      38.7908
     12       131        15      38.4869
     13       130        20      43.6462
     14       129        20      42.7831
     15       128        16      37.6404
     16       127        18      32.1019
     17       126        16      34.8011
     18       125        16      33.4769
     19       124        20      36.3839
     20       123        21      40.9322
     21       122        26      31.8781
     22       121        19      37.7849
     23       120        24      34.4432
     24       119        21      32.7463
     25       118        19      45.4705
     26       117        23      37.0261
     27       116        19      32.6729
     28       115        21      36.7951
     29       114        16      44.5306
     30       113        12      38.2719
     31       112        12      35.4667
     32       111        21      37.0912
     33       110        20      34.7229
     34       109        25      35.8322
     35       108        16      34.8859
     36       107        14      45.8523
     37       106        11      31.8856
     38       105        22      34.7512
     39       104        19      41.9321
     40       103         6      29.3902
 ---------------------------------------
 TOTAL NUM. LINES:      626
 MEAN RMS RESIDUAL PER ORD:      35.8411
 MEAN LINES PER ORD:  15.65
 MEAN RMS RESIDUAL:              37.2088
