 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         0       0.0000
      2       141         1       0.0000
      3       140         6      43.0282
      4       139         8      47.6324
      5       138         8      37.9976
      6       137         8      32.3749
      7       136        15      41.2324
      8       135        13      39.5730
      9       134        13      44.8300
     10       133        20      42.8285
     11       132        19      42.8220
     12       131        15      42.7501
     13       130        24      48.5204
     14       129        21      45.0373
     15       128        14      45.8501
     16       127        21      35.1658
     17       126        16      46.7772
     18       125        14      43.4445
     19       124        19      28.2699
     20       123        22      51.0682
     21       122        23      41.1994
     22       121        20      38.6154
     23       120        30      34.7971
     24       119        23      28.3745
     25       118        19      39.9027
     26       117        26      43.7425
     27       116        21      40.5196
     28       115        25      40.1499
     29       114        20      47.4781
     30       113        15      40.3446
     31       112        17      36.9293
     32       111        17      35.9521
     33       110        23      28.8150
     34       109        28      38.6540
     35       108        18      43.2346
     36       107        15      42.0810
     37       106        12      46.2227
     38       105        20      41.7075
     39       104        16      36.0478
     40       103         6      48.2599
 ---------------------------------------
 TOTAL NUM. LINES:      671
 MEAN RMS RESIDUAL PER ORD:      39.8008
 MEAN LINES PER ORD:  16.77
 MEAN RMS RESIDUAL:              40.7966
