 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.070
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         4      26.4490
      2       127        22      27.9323
      3       126        25      25.7713
      4       125        21      36.8242
      5       124        16      31.7924
      6       123        25      29.4974
      7       122        33      32.0016
      8       121        32      35.6409
      9       120        28      31.2201
     10       119        23      32.5331
     11       118        27      35.3666
     12       117        24      31.8518
     13       116        26      31.5091
     14       115        27      29.3298
     15       114        34      30.8583
     16       113        40      34.7466
     17       112        27      33.2151
     18       111        32      26.6465
     19       110        34      26.7890
     20       109        22      35.4888
     21       108        24      39.0975
     22       107        30      32.1220
     23       106        17      31.8011
 ---------------------------------------
 TOTAL NUM. LINES:      593
 MEAN RMS RESIDUAL PER ORD:      31.6732
 MEAN LINES PER ORD:  25.78
 MEAN RMS RESIDUAL:              31.8783
