 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         0       0.0000
      2       141         2      19.1645
      3       140         2       4.1167
      4       139         8      28.9195
      5       138         8      29.7221
      6       137         8      38.5135
      7       136        13      39.7742
      8       135        12      37.3079
      9       134        15      37.6427
     10       133        18      33.3173
     11       132        15      40.1416
     12       131        14      42.1241
     13       130        12      40.0766
     14       129        20      40.2009
     15       128        10      37.1970
     16       127        20      35.1376
     17       126        14      39.3098
     18       125        17      40.5382
     19       124        19      36.2478
     20       123        17      39.4611
     21       122        26      38.8893
     22       121        19      39.8408
     23       120        26      36.7483
     24       119        20      30.1928
     25       118        18      24.4814
     26       117        20      36.6271
     27       116        20      40.3829
     28       115        17      39.8959
     29       114        19      38.8851
     30       113        12      32.5088
     31       112        14      26.4481
     32       111        18      35.1005
     33       110        22      40.5253
     34       109        22      30.0691
     35       108        13      45.9199
     36       107        14      40.0429
     37       106        10      38.7397
     38       105        25      39.7427
     39       104        17      33.0016
     40       103         5      19.5548
 ---------------------------------------
 TOTAL NUM. LINES:      601
 MEAN RMS RESIDUAL PER ORD:      35.0387
 MEAN LINES PER ORD:  15.03
 MEAN RMS RESIDUAL:              36.3913
