 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         4      11.2246
      2       127        21      24.9482
      3       126        25      26.0095
      4       125        21      31.9862
      5       124        14      26.9253
      6       123        23      26.4445
      7       122        31      33.5325
      8       121        29      32.3523
      9       120        27      28.4179
     10       119        22      26.8446
     11       118        26      36.4166
     12       117        24      28.6844
     13       116        23      22.7736
     14       115        30      26.1365
     15       114        31      26.1516
     16       113        39      33.6882
     17       112        26      30.7495
     18       111        30      26.7669
     19       110        34      25.8880
     20       109        21      28.3807
     21       108        19      35.4043
     22       107        31      30.5095
     23       106        17      31.3044
 ---------------------------------------
 TOTAL NUM. LINES:      568
 MEAN RMS RESIDUAL PER ORD:      28.3278
 MEAN LINES PER ORD:  24.70
 MEAN RMS RESIDUAL:              29.1446
