 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         4      13.4698
      2       127        22      29.2365
      3       126        25      32.7010
      4       125        21      29.0204
      5       124        15      28.8567
      6       123        23      21.4370
      7       122        28      31.8064
      8       121        30      31.3227
      9       120        27      32.2993
     10       119        22      34.5301
     11       118        27      29.1244
     12       117        24      38.1497
     13       116        22      20.1417
     14       115        28      24.0950
     15       114        33      25.9944
     16       113        39      29.6146
     17       112        25      34.5021
     18       111        30      27.5906
     19       110        33      25.1127
     20       109        20      27.7230
     21       108        21      39.1207
     22       107        29      27.2553
     23       106        17      36.2116
 ---------------------------------------
 TOTAL NUM. LINES:      565
 MEAN RMS RESIDUAL PER ORD:      29.1007
 MEAN LINES PER ORD:  24.57
 MEAN RMS RESIDUAL:              29.6123
