 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         1       0.0000
      2       141         1       0.0000
      3       140         5      41.6501
      4       139         8      42.1053
      5       138         8      37.5887
      6       137         8      40.1628
      7       136        12      31.2623
      8       135        12      28.3340
      9       134        13      43.9715
     10       133        18      38.2318
     11       132        17      32.9234
     12       131        15      40.9497
     13       130        19      42.7481
     14       129        21      41.1853
     15       128        14      38.2781
     16       127        19      33.4609
     17       126        16      37.7542
     18       125        17      30.1099
     19       124        23      32.1130
     20       123        14      43.9317
     21       122        27      37.5917
     22       121        17      34.3772
     23       120        26      34.6024
     24       119        21      40.5426
     25       118        19      36.9042
     26       117        23      34.4462
     27       116        16      43.6550
     28       115        20      43.5566
     29       114        19      35.6350
     30       113        12      33.5414
     31       112        12      45.0290
     32       111        22      43.0278
     33       110        26      30.6597
     34       109        23      28.8092
     35       108        17      36.5118
     36       107        16      34.3182
     37       106        12      37.7588
     38       105        24      35.8280
     39       104        18      41.1749
     40       103         4      35.7079
 ---------------------------------------
 TOTAL NUM. LINES:      635
 MEAN RMS RESIDUAL PER ORD:      35.5110
 MEAN LINES PER ORD:  15.88
 MEAN RMS RESIDUAL:              37.2653
