 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132        11      23.6646
      2       131        20      26.0701
      3       130        21      25.7579
      4       129        27      25.9285
      5       128        22      32.5063
      6       127        27      34.2553
      7       126        25      27.1054
      8       125        22      32.4075
      9       124        16      34.7272
     10       123        22      31.3805
     11       122        30      29.9054
     12       121        31      38.6982
     13       120        26      31.9500
     14       119        18      42.2190
     15       118        28      31.1879
     16       117        21      34.9393
     17       116        27      29.8032
     18       115        27      31.1181
     19       114        31      25.9342
     20       113        40      32.5187
     21       112        25      33.4577
     22       111        29      29.8455
     23       110        34      31.3235
     24       109        13      38.0555
 ---------------------------------------
 TOTAL NUM. LINES:      593
 MEAN RMS RESIDUAL PER ORD:      31.4483
 MEAN LINES PER ORD:  24.71
 MEAN RMS RESIDUAL:              31.9323
