 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.055
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         5      17.3599
      2       127        21      32.3740
      3       126        25      27.6447
      4       125        22      30.4068
      5       124        14      31.3108
      6       123        20      27.9606
      7       122        31      30.3170
      8       121        32      29.4372
      9       120        27      30.2882
     10       119        21      32.2199
     11       118        26      29.2592
     12       117        21      27.3973
     13       116        24      30.0526
     14       115        28      28.1724
     15       114        30      26.2255
     16       113        38      28.2691
     17       112        26      30.4804
     18       111        32      25.1395
     19       110        32      27.8054
     20       109        19      22.4963
     21       108        23      33.7491
     22       107        28      27.8432
     23       106        15      30.3818
 ---------------------------------------
 TOTAL NUM. LINES:      560
 MEAN RMS RESIDUAL PER ORD:      28.5474
 MEAN LINES PER ORD:  24.35
 MEAN RMS RESIDUAL:              28.7936
