 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         5      19.3331
      2       127        22      31.0684
      3       126        24      28.0418
      4       125        21      26.2786
      5       124        15      30.7437
      6       123        22      27.2611
      7       122        30      26.7319
      8       121        30      31.8285
      9       120        26      25.9256
     10       119        21      30.4584
     11       118        28      31.5144
     12       117        23      32.9621
     13       116        23      31.2041
     14       115        29      27.3409
     15       114        32      28.0929
     16       113        40      29.7223
     17       112        27      31.5568
     18       111        31      25.2603
     19       110        33      26.4720
     20       109        21      24.4123
     21       108        24      30.0514
     22       107        30      32.0355
     23       106        17      33.4477
 ---------------------------------------
 TOTAL NUM. LINES:      574
 MEAN RMS RESIDUAL PER ORD:      28.7715
 MEAN LINES PER ORD:  24.96
 MEAN RMS RESIDUAL:              29.1095
