 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.055
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         2      21.6426
      2       127        20      24.0748
      3       126        22      25.4512
      4       125        20      24.7942
      5       124        15      31.2842
      6       123        24      24.8346
      7       122        29      27.9013
      8       121        29      30.5804
      9       120        26      29.6518
     10       119        19      24.3686
     11       118        25      27.9632
     12       117        22      28.8086
     13       116        25      28.0842
     14       115        26      24.7282
     15       114        31      26.2437
     16       113        37      30.4925
     17       112        23      31.9790
     18       111        29      27.8300
     19       110        33      26.2708
     20       109        22      30.1336
     21       108        16      35.2048
     22       107        26      29.9584
     23       106        16      24.4479
 ---------------------------------------
 TOTAL NUM. LINES:      537
 MEAN RMS RESIDUAL PER ORD:      27.6839
 MEAN LINES PER ORD:  23.35
 MEAN RMS RESIDUAL:              27.8650
