 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         5      19.1554
      2       127        19      31.5065
      3       126        25      24.0328
      4       125        21      31.2728
      5       124        16      26.3329
      6       123        25      26.6134
      7       122        33      34.5970
      8       121        32      32.4991
      9       120        26      25.6166
     10       119        24      28.0409
     11       118        27      34.5671
     12       117        23      29.5682
     13       116        27      30.5604
     14       115        31      27.7993
     15       114        33      26.3050
     16       113        39      27.9432
     17       112        25      29.1651
     18       111        31      26.5104
     19       110        34      28.4549
     20       109        22      32.5003
     21       108        21      40.6865
     22       107        32      31.9116
     23       106        17      27.4833
 ---------------------------------------
 TOTAL NUM. LINES:      588
 MEAN RMS RESIDUAL PER ORD:      29.2662
 MEAN LINES PER ORD:  25.57
 MEAN RMS RESIDUAL:              29.7468
