 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         0       0.0000
      2       141         1       0.0000
      3       140         7      42.3238
      4       139         8      33.7500
      5       138         5      30.3977
      6       137         7      32.0437
      7       136        10      28.8573
      8       135        18      43.5010
      9       134        16      40.3148
     10       133        18      35.8109
     11       132        18      39.5905
     12       131        16      35.3566
     13       130        21      50.0461
     14       129        23      38.6003
     15       128        14      36.7399
     16       127        20      32.5148
     17       126        17      34.9691
     18       125        17      39.6555
     19       124        19      31.4716
     20       123        18      44.8707
     21       122        29      38.6801
     22       121        20      43.7370
     23       120        28      38.0925
     24       119        29      40.0511
     25       118        21      46.2498
     26       117        24      39.5694
     27       116        20      43.0104
     28       115        21      37.8789
     29       114        20      37.0597
     30       113        14      40.9997
     31       112        11      40.7623
     32       111        20      40.7841
     33       110        26      41.3889
     34       109        24      41.6679
     35       108        11      40.7357
     36       107        16      37.4542
     37       106        14      50.4082
     38       105        24      39.5532
     39       104        13      43.4857
     40       103         4      50.3500
 ---------------------------------------
 TOTAL NUM. LINES:      662
 MEAN RMS RESIDUAL PER ORD:      38.5316
 MEAN LINES PER ORD:  16.55
 MEAN RMS RESIDUAL:              40.0108
