 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         2       8.5412
      2       140         4      20.2451
      3       139         9      32.7013
      4       138         8      35.7795
      5       137         4      27.6084
      6       136        11      43.7777
      7       135        13      35.2589
      8       134        14      39.6434
      9       133        17      37.6943
     10       132        18      42.3260
     11       131        15      45.2538
     12       130        21      42.3809
     13       129        17      46.9741
     14       128        12      30.6391
     15       127        21      34.7661
     16       126        14      32.8127
     17       125        14      34.8794
     18       124        21      34.7944
     19       123        17      43.9186
     20       122        26      37.4000
     21       121        20      35.8988
     22       120        28      32.6556
     23       119        26      44.5811
     24       118        15      43.5966
     25       117        24      43.4927
     26       116        18      37.3751
     27       115        21      35.8421
     28       114        20      37.7290
     29       113        11      35.5984
     30       112        11      35.4436
     31       111        20      32.2015
     32       110        23      34.5373
     33       109        24      31.5741
     34       108        16      43.1964
     35       107        15      30.5258
     36       106        12      26.8861
     37       105        21      35.0524
     38       104        15      33.0743
     39       103         4      29.1211
 ---------------------------------------
 TOTAL NUM. LINES:      622
 MEAN RMS RESIDUAL PER ORD:      35.5327
 MEAN LINES PER ORD:  15.95
 MEAN RMS RESIDUAL:              37.3514
