 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         1       0.0000
      2       140         4      25.8544
      3       139         5      30.2258
      4       138         7      20.3778
      5       137         7      37.5651
      6       136        14      43.6387
      7       135         8      46.0238
      8       134        14      37.6550
      9       133        15      39.4685
     10       132        15      39.4433
     11       131        12      36.5311
     12       130        23      47.5834
     13       129        22      42.5848
     14       128        15      37.5847
     15       127        21      36.3646
     16       126        17      39.1959
     17       125        17      31.5372
     18       124        23      32.2961
     19       123        21      44.1126
     20       122        31      41.3429
     21       121        20      36.7948
     22       120        29      40.4072
     23       119        27      35.3165
     24       118        18      40.7654
     25       117        22      41.8392
     26       116        20      42.9343
     27       115        25      49.1656
     28       114        17      45.7672
     29       113        15      41.6020
     30       112        12      39.4586
     31       111        18      38.9129
     32       110        21      39.1478
     33       109        25      36.0620
     34       108        18      30.3715
     35       107        18      41.5317
     36       106        14      33.7068
     37       105        21      31.4843
     38       104        14      32.4969
     39       103         6      51.1080
 ---------------------------------------
 TOTAL NUM. LINES:      652
 MEAN RMS RESIDUAL PER ORD:      37.3912
 MEAN LINES PER ORD:  16.72
 MEAN RMS RESIDUAL:              39.0244
