 CENTRAL WAVELENGTH: 760
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       107         7      36.8454
      2       106        15      30.0138
      3       105        23      35.9336
      4       104        24      33.2396
      5       103        23      36.4083
      6       102        28      35.8297
      7       101        33      28.0249
      8       100        30      29.2749
      9        99        21      36.2389
     10        98        25      26.8527
     11        97        31      30.1255
     12        96        34      38.1588
     13        95        25      39.9102
     14        94        21      28.5603
     15        93        23      39.2062
     16        92        32      37.9664
     17        91        42      30.5828
     18        90        28      30.4016
     19        89        22      34.9860
     20        88        14      32.3583
     21        87        30      38.4487
     22        86        29      36.9417
     23        85        22      36.2366
     24        84        16      34.2908
     25        83        18      38.8829
     26        82        21      27.2899
     27        81         9      28.4008
 ---------------------------------------
 TOTAL NUM. LINES:      646
 MEAN RMS RESIDUAL PER ORD:      33.7559
 MEAN LINES PER ORD:  23.93
 MEAN RMS RESIDUAL:              34.1091
