 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.055
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         6      14.9995
      2       127        21      27.8590
      3       126        20      20.4492
      4       125        18      24.2900
      5       124        17      34.5752
      6       123        22      21.8308
      7       122        27      26.1151
      8       121        27      31.5980
      9       120        23      34.0835
     10       119        20      31.8117
     11       118        26      37.0062
     12       117        22      28.7942
     13       116        21      27.5921
     14       115        27      28.8635
     15       114        31      26.2201
     16       113        33      31.5338
     17       112        22      34.1026
     18       111        25      26.8559
     19       110        32      24.2857
     20       109        23      31.1007
     21       108        19      33.5184
     22       107        27      34.6914
     23       106        16      35.1974
 ---------------------------------------
 TOTAL NUM. LINES:      525
 MEAN RMS RESIDUAL PER ORD:      29.0163
 MEAN LINES PER ORD:  22.83
 MEAN RMS RESIDUAL:              29.6281
