 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         7      12.5618
      2       127        25      29.8851
      3       126        25      29.2366
      4       125        22      29.8300
      5       124        18      24.7102
      6       123        23      25.2417
      7       122        29      28.9266
      8       121        29      25.4547
      9       120        26      30.1991
     10       119        17      26.9223
     11       118        22      24.6887
     12       117        24      31.3586
     13       116        20      24.9407
     14       115        28      26.4978
     15       114        35      31.0478
     16       113        36      31.5940
     17       112        23      31.1221
     18       111        27      23.1268
     19       110        28      27.9986
     20       109        25      29.1016
     21       108        22      30.3859
     22       107        34      30.1354
     23       106        16      29.2237
 ---------------------------------------
 TOTAL NUM. LINES:      561
 MEAN RMS RESIDUAL PER ORD:      27.5735
 MEAN LINES PER ORD:  24.39
 MEAN RMS RESIDUAL:              28.3689
