 CENTRAL WAVELENGTH: 760
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       107         3      19.5820
      2       106        15      36.8408
      3       105        21      31.5930
      4       104        24      31.7880
      5       103        21      24.6404
      6       102        27      37.1295
      7       101        30      32.1369
      8       100        28      34.1959
      9        99        21      40.0353
     10        98        25      32.5417
     11        97        34      29.7185
     12        96        33      40.4766
     13        95        25      36.2108
     14        94        18      25.3079
     15        93        20      44.9858
     16        92        31      42.9815
     17        91        39      33.6635
     18        90        28      37.0618
     19        89        24      34.8554
     20        88        14      34.4237
     21        87        29      35.4586
     22        86        25      33.4056
     23        85        20      35.5338
     24        84         7      42.1524
     25        83        10      36.2650
     26        82         4      40.6425
     27        81         4       8.1129
 ---------------------------------------
 TOTAL NUM. LINES:      580
 MEAN RMS RESIDUAL PER ORD:      33.7681
 MEAN LINES PER ORD:  21.48
 MEAN RMS RESIDUAL:              34.8904
