 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         5      16.4736
      2       127        20      24.8906
      3       126        24      22.9423
      4       125        21      26.2805
      5       124        16      26.6177
      6       123        21      29.5368
      7       122        31      28.5627
      8       121        30      30.8785
      9       120        28      33.4313
     10       119        21      31.7468
     11       118        26      33.3632
     12       117        23      26.8210
     13       116        22      30.7384
     14       115        28      28.0808
     15       114        34      29.3624
     16       113        37      30.3739
     17       112        25      35.3141
     18       111        31      30.5474
     19       110        31      26.9506
     20       109        20      29.2189
     21       108        22      31.4416
     22       107        27      33.2267
     23       106        16      26.9516
 ---------------------------------------
 TOTAL NUM. LINES:      559
 MEAN RMS RESIDUAL PER ORD:      28.8588
 MEAN LINES PER ORD:  24.30
 MEAN RMS RESIDUAL:              29.6615
