 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         2      30.0544
      2       140         5      32.1578
      3       139         7      34.5405
      4       138         9      32.7913
      5       137        10      25.8935
      6       136         8      35.3835
      7       135        13      35.2079
      8       134        12      41.1731
      9       133        15      33.5131
     10       132        16      45.4910
     11       131        15      38.6915
     12       130        21      54.5077
     13       129        17      42.6681
     14       128        14      40.0036
     15       127        21      36.8622
     16       126        17      32.3633
     17       125        17      45.5097
     18       124        23      29.1030
     19       123        17      40.8901
     20       122        23      38.5743
     21       121        19      39.2379
     22       120        24      30.4013
     23       119        21      32.5193
     24       118        18      40.4944
     25       117        22      39.1088
     26       116        18      36.6437
     27       115        19      51.1641
     28       114        21      40.9002
     29       113        14      43.4982
     30       112         7      38.4302
     31       111        17      35.4115
     32       110        21      40.5516
     33       109        27      39.1564
     34       108        14      32.1872
     35       107        13      34.4619
     36       106        13      36.8669
     37       105        20      28.7130
     38       104        18      34.7016
     39       103         5      28.1200
 ---------------------------------------
 TOTAL NUM. LINES:      613
 MEAN RMS RESIDUAL PER ORD:      37.1269
 MEAN LINES PER ORD:  15.72
 MEAN RMS RESIDUAL:              37.9888
