 CENTRAL WAVELENGTH: 760
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       107         6      27.8348
      2       106        16      18.5838
      3       105        26      33.4572
      4       104        24      35.1377
      5       103        24      39.5991
      6       102        33      36.9864
      7       101        32      31.4162
      8       100        31      31.3561
      9        99        21      36.3323
     10        98        25      36.7889
     11        97        32      38.2717
     12        96        34      34.1848
     13        95        22      38.5178
     14        94        20      32.9961
     15        93        22      32.3070
     16        92        32      41.7605
     17        91        39      31.0086
     18        90        28      31.1900
     19        89        22      36.0651
     20        88        15      37.7177
     21        87        32      41.6409
     22        86        27      33.8304
     23        85        22      33.6608
     24        84        17      29.8654
     25        83        19      36.0940
     26        82        19      31.3874
     27        81         9      32.3247
 ---------------------------------------
 TOTAL NUM. LINES:      649
 MEAN RMS RESIDUAL PER ORD:      34.0858
 MEAN LINES PER ORD:  24.04
 MEAN RMS RESIDUAL:              34.5990
