 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         1       0.0000
      2       140         7      26.6222
      3       139         8      36.5983
      4       138        10      35.9095
      5       137         8      36.2448
      6       136        10      36.5640
      7       135        11      31.3523
      8       134        16      36.7964
      9       133        18      36.2240
     10       132        18      34.8390
     11       131        15      31.2785
     12       130        21      33.3170
     13       129        18      46.9038
     14       128        14      40.5006
     15       127        22      36.2145
     16       126        17      32.4051
     17       125        19      38.2752
     18       124        20      30.0412
     19       123        18      38.9956
     20       122        29      40.0423
     21       121        25      34.4923
     22       120        25      36.0494
     23       119        25      33.1015
     24       118        25      35.1062
     25       117        24      44.3746
     26       116        18      36.1358
     27       115        18      39.0050
     28       114        20      40.8964
     29       113        20      43.5210
     30       112        15      32.6663
     31       111        17      35.4302
     32       110        28      34.2890
     33       109        25      39.0506
     34       108        15      30.4069
     35       107        17      40.5796
     36       106        13      31.7344
     37       105        23      31.3254
     38       104        13      29.4836
     39       103         0       0.0000
 ---------------------------------------
 TOTAL NUM. LINES:      666
 MEAN RMS RESIDUAL PER ORD:      34.9151
 MEAN LINES PER ORD:  17.08
 MEAN RMS RESIDUAL:              36.8004
