 CENTRAL WAVELENGTH: 437
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       124         7      19.4411
      2       123        10      31.7151
      3       122        14      34.8425
      4       121        13      28.7280
      5       120        17      27.6312
      6       119        12      26.4800
      7       118        12      32.6559
      8       117        19      36.1736
      9       116        13      33.9397
     10       115        17      40.9840
     11       114        17      38.7277
     12       113        10      42.0614
     13       112         9      44.7768
     14       111         8      29.6931
     15       110        14      29.0389
     16       109        24      28.3285
     17       108        16      33.1119
     18       107        18      39.1091
     19       106        15      38.8291
     20       105        20      29.4691
     21       104        21      42.3161
     22       103        13      35.5414
     23       102        17      43.9421
     24       101        18      28.1313
     25       100         8      33.2071
     26        99        18      22.0150
     27        98        16      29.8964
     28        97        17      33.7945
     29        96        18      37.2395
     30        95        10      37.2576
     31        94        12      27.1686
 ---------------------------------------
 TOTAL NUM. LINES:      453
 MEAN RMS RESIDUAL PER ORD:      33.4273
 MEAN LINES PER ORD:  14.61
 MEAN RMS RESIDUAL:              34.6075
