 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         5       4.6698
      2       127        21      22.6117
      3       126        18      22.0801
      4       125        23      29.3880
      5       124        14      27.0793
      6       123        20      26.8542
      7       122        24      26.5977
      8       121        31      24.9743
      9       120        26      34.3160
     10       119        16      28.9454
     11       118        21      30.9788
     12       117        21      27.2648
     13       116        26      25.8821
     14       115        23      25.1795
     15       114        29      25.5047
     16       113        32      33.6708
     17       112        23      24.9927
     18       111        22      24.2132
     19       110        25      19.3090
     20       109        17      32.9556
     21       108        12      37.7078
     22       107        14      31.0709
     23       106        12      27.4281
 ---------------------------------------
 TOTAL NUM. LINES:      475
 MEAN RMS RESIDUAL PER ORD:      26.6815
 MEAN LINES PER ORD:  20.65
 MEAN RMS RESIDUAL:              27.5964
