 CENTRAL WAVELENGTH: 437
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       124         5      28.2200
      2       123        12      40.2400
      3       122        15      32.9842
      4       121        12      36.0091
      5       120        17      29.5432
      6       119        14      30.0589
      7       118        13      35.0432
      8       117        19      36.0160
      9       116        16      40.1411
     10       115        18      44.5820
     11       114        15      32.4416
     12       113         8      44.4474
     13       112         9      36.3696
     14       111         8      31.4260
     15       110        15      30.0095
     16       109        23      27.2984
     17       108        16      37.3667
     18       107        19      38.3786
     19       106        14      41.0191
     20       105        17      34.7874
     21       104        19      39.8561
     22       103        10      26.1766
     23       102        13      42.6964
     24       101        17      39.0635
     25       100         7      20.3163
     26        99        18      30.1312
     27        98        15      33.0594
     28        97        16      30.0767
     29        96        15      31.6246
     30        95         9      26.8911
     31        94        11      23.9968
 ---------------------------------------
 TOTAL NUM. LINES:      435
 MEAN RMS RESIDUAL PER ORD:      33.8797
 MEAN LINES PER ORD:  14.03
 MEAN RMS RESIDUAL:              34.9029
