 CENTRAL WAVELENGTH: 760
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       107         5      34.8622
      2       106        15      31.5379
      3       105        21      37.0931
      4       104        24      36.2567
      5       103        22      38.0968
      6       102        28      40.4789
      7       101        34      30.1191
      8       100        29      33.1041
      9        99        21      35.3713
     10        98        25      25.9816
     11        97        30      29.2051
     12        96        33      41.0388
     13        95        24      35.6052
     14        94        18      30.1292
     15        93        23      38.2747
     16        92        33      37.6609
     17        91        42      31.1377
     18        90        28      31.6310
     19        89        22      39.2826
     20        88        14      31.5785
     21        87        33      39.4054
     22        86        26      33.5816
     23        85        22      39.6866
     24        84        14      26.2212
     25        83        11      28.8608
     26        82        12      31.0738
     27        81         5      22.4694
 ---------------------------------------
 TOTAL NUM. LINES:      614
 MEAN RMS RESIDUAL PER ORD:      33.6942
 MEAN LINES PER ORD:  22.74
 MEAN RMS RESIDUAL:              34.8725
