 CENTRAL WAVELENGTH: 437
 BINNING: 1x1
 TOLERANCE:  0.040
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       124         3      21.0430
      2       123        10      24.6686
      3       122        15      37.6269
      4       121        11      33.8799
      5       120        15      24.9615
      6       119        12      29.4532
      7       118        11      33.6550
      8       117        17      32.2009
      9       116        14      35.8320
     10       115        14      36.2747
     11       114        15      30.2354
     12       113         7      46.6489
     13       112         7      40.0867
     14       111         9      28.7145
     15       110        13      28.7647
     16       109        25      36.2592
     17       108        13      35.1501
     18       107        14      35.3293
     19       106        14      45.2400
     20       105        17      30.4346
     21       104        19      37.3659
     22       103        12      36.8973
     23       102        13      32.2512
     24       101        18      27.7774
     25       100         9      26.4147
     26        99        16      23.9053
     27        98        14      36.1490
     28        97        16      34.5391
     29        96        10      27.9454
     30        95        12      30.0630
     31        94         9      12.6790
 ---------------------------------------
 TOTAL NUM. LINES:      404
 MEAN RMS RESIDUAL PER ORD:      32.0144
 MEAN LINES PER ORD:  13.03
 MEAN RMS RESIDUAL:              32.9765
