 CENTRAL WAVELENGTH: 760
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 5
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       107         7      34.4912
      2       106        16      26.1891
      3       105        24      29.4660
      4       104        26      37.3320
      5       103        26      34.9227
      6       102        32      39.2051
      7       101        35      35.4974
      8       100        30      34.9945
      9        99        21      37.3105
     10        98        26      31.0564
     11        97        35      33.6384
     12        96        33      32.5958
     13        95        25      37.3955
     14        94        19      24.2817
     15        93        20      40.4008
     16        92        28      38.5952
     17        91        37      33.3354
     18        90        27      29.9565
     19        89        25      39.2560
     20        88        15      36.5799
     21        87        22      34.6900
     22        86        23      39.9717
     23        85        17      36.8708
     24        84        14      33.8539
     25        83        20      41.2864
     26        82        18      33.7667
     27        81         9      34.5545
 ---------------------------------------
 TOTAL NUM. LINES:      630
 MEAN RMS RESIDUAL PER ORD:      34.8701
 MEAN LINES PER ORD:  23.33
 MEAN RMS RESIDUAL:              34.9656
