 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         3      27.7489
      2       140         8      32.6937
      3       139        11      30.2438
      4       138         9      33.0042
      5       137         5      29.7436
      6       136        13      37.5786
      7       135        12      34.5740
      8       134        13      35.2381
      9       133        18      36.7951
     10       132        18      34.8863
     11       131        13      38.7828
     12       130        20      36.3923
     13       129        20      44.4078
     14       128        11      35.9230
     15       127        22      37.9307
     16       126        18      37.0154
     17       125        18      35.1379
     18       124        21      33.0396
     19       123        17      41.7194
     20       122        27      38.2405
     21       121        25      41.6616
     22       120        27      33.1333
     23       119        23      26.4097
     24       118        21      36.1483
     25       117        23      37.5593
     26       116        18      31.3287
     27       115        22      43.3652
     28       114        15      34.5481
     29       113        14      44.4888
     30       112        12      37.2951
     31       111        19      36.8868
     32       110        21      29.5811
     33       109        29      27.8126
     34       108        16      40.9283
     35       107        16      36.5800
     36       106        11      37.6507
     37       105        24      37.8361
     38       104        16      33.7964
     39       103         6      53.8572
 ---------------------------------------
 TOTAL NUM. LINES:      655
 MEAN RMS RESIDUAL PER ORD:      36.2042
 MEAN LINES PER ORD:  16.79
 MEAN RMS RESIDUAL:              36.7954
